File_ID,agreement_errors
pair_sli480_td450_rep10_SLI_bundle,34
pair_sli480_td450_rep10_TD_bundle,6
pair_sli482_td466_rep01_SLI_bundle,14
pair_sli482_td466_rep01_TD_bundle,14
pair_sli482_td466_rep02_SLI_bundle,21
pair_sli482_td466_rep02_TD_bundle,13
pair_sli482_td466_rep03_SLI_bundle,18
pair_sli482_td466_rep03_TD_bundle,4
pair_sli482_td466_rep04_SLI_bundle,27
pair_sli482_td466_rep04_TD_bundle,13
pair_sli482_td466_rep05_SLI_bundle,24
pair_sli482_td466_rep05_TD_bundle,17
pair_sli482_td466_rep06_SLI_bundle,33
pair_sli482_td466_rep06_TD_bundle,13
pair_sli482_td466_rep07_SLI_bundle,23
pair_sli482_td466_rep07_TD_bundle,7
pair_sli482_td466_rep08_SLI_bundle,18
pair_sli482_td466_rep08_TD_bundle,8
pair_sli482_td466_rep09_SLI_bundle,27
pair_sli482_td466_rep09_TD_bundle,20
pair_sli482_td466_rep10_SLI_bundle,32
pair_sli482_td466_rep10_TD_bundle,12
