File,[* d:sw],[* m:+ed],[* m:+est],[* m:+s],[* m:0's],[* m:03s:a],[* m:0d],[* m:0ed],[* m:0en],[* m:0ing],[* m:0s],[* m:allo],[* m:b0ed],[* m:base:ed],[* m:base:en],[* m:irr:ed],[* m:unv:a],[* m:vsg:a],[* m:vun:a],[* n:k],[* p:n],[* p:w],[* s:r:der],[* s:r:gc:pro],[* s:r:seg],[* s:r],[* s:u],[* s:uk],[* s:ur]
experiment_condition_C_6shot_007_B1.cha,1,0,0,0,0,7,0,2,0,4,2,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0
condition_c_10shot_007_B1.cha,0,0,0,0,0,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condition_b_zeroshot_know_019_B1.cha,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,1,0,0,3,0,0,1
condition_c_10shot_030_B1.cha,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,6,0,0,0,0,0,0,0
experiment_condition_C_4shot_017_B1.cha,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,1,5,0,0,0,0,0,0,1,2,0,0,0
experiment_condition_C_6shot_030_B1.cha,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_2shot_020_B1.cha,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
condition_a_zeroshot_005_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condition_c_10shot_002_B1.cha,0,0,0,0,0,7,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_4shot_025_B1.cha,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
experiment_condition_C_6shot_002_B1.cha,1,0,0,0,0,6,0,1,0,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
condition_a_zeroshot_019_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
experiment_condition_C_2shot_012_B1.cha,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
condition_b_zeroshot_know_027_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0
condition_a_zeroshot_022_B1.cha,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_2shot_007_B1.cha,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condition_b_zeroshot_know_009_B1.cha,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0
condition_c_10shot_017_B1.cha,0,0,0,0,0,0,0,8,0,2,0,0,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_4shot_030_B1.cha,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_6shot_017_B1.cha,0,0,0,0,0,2,0,1,0,7,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0
experiment_condition_C_2shot_029_B1.cha,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condition_a_zeroshot_010_B1.cha,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
condition_b_zeroshot_know_015_B1.cha,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,1,0,0,1
condition_c_10shot_025_B1.cha,0,0,0,0,0,8,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_4shot_002_B1.cha,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,5,0,0,2,0,0,0,0,1,0,0,0
experiment_condition_C_6shot_025_B1.cha,1,0,0,0,0,6,0,1,0,1,2,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0
condition_b_zeroshot_know_020_B1.cha,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1
experiment_condition_C_4shot_019_B1.cha,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0
condition_a_zeroshot_025_B1.cha,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_6shot_010_B1.cha,0,0,0,0,0,6,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condition_c_10shot_010_B1.cha,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
condition_a_zeroshot_017_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
condition_b_zeroshot_know_012_B1.cha,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,1,0,0,0,1,0,0,0
experiment_condition_C_4shot_005_B1.cha,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_6shot_022_B1.cha,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
condition_c_10shot_022_B1.cha,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_2shot_009_B1.cha,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0
experiment_condition_C_4shot_010_B1.cha,0,0,0,0,0,7,0,0,0,8,1,0,0,0,0,0,0,3,0,0,1,0,1,0,1,2,0,0,0
condition_b_zeroshot_know_029_B1.cha,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,8,10,0,0,0,7,1,0,0,0
condition_a_zeroshot_002_B1.cha,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,1
experiment_condition_C_2shot_027_B1.cha,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condition_b_zeroshot_know_007_B1.cha,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,15,7,0,0,1,0,1,0,0
condition_c_10shot_019_B1.cha,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_6shot_019_B1.cha,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0
experiment_condition_C_4shot_022_B1.cha,0,0,0,0,0,6,1,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
experiment_condition_C_6shot_005_B1.cha,0,0,0,0,0,2,0,2,0,4,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0
condition_c_10shot_005_B1.cha,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
condition_a_zeroshot_030_B1.cha,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
experiment_condition_C_2shot_015_B1.cha,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
condition_b_zeroshot_know_002_B1.cha,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,4,0,0,2
condition_a_zeroshot_007_B1.cha,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_2shot_022_B1.cha,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
experiment_condition_C_4shot_015_B1.cha,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1,2,0,0,3,1,0,0,1,0,0,0,0
condition_a_zeroshot_029_B1.cha,0,0,0,0,0,13,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_2shot_010_B1.cha,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_4shot_009_B1.cha,0,0,0,0,0,5,0,0,0,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
condition_b_zeroshot_know_030_B1.cha,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,1,0,0,1,0,0,0
experiment_condition_C_4shot_027_B1.cha,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
condition_c_10shot_015_B1.cha,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
experiment_condition_C_6shot_015_B1.cha,0,0,0,0,0,7,0,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_2shot_005_B1.cha,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
condition_a_zeroshot_020_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condition_b_zeroshot_know_025_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0
condition_c_10shot_027_B1.cha,0,2,0,0,0,7,0,1,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_6shot_027_B1.cha,0,0,0,0,0,8,0,1,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0
experiment_condition_C_2shot_019_B1.cha,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
experiment_condition_C_6shot_009_B1.cha,0,0,0,0,0,5,0,0,0,2,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1
condition_c_10shot_009_B1.cha,0,0,0,0,0,9,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
condition_b_zeroshot_know_017_B1.cha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
condition_a_zeroshot_012_B1.cha,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condition_b_zeroshot_know_014_B1.cha,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0
condition_a_zeroshot_011_B1.cha,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_6shot_024_B1.cha,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,3,1,0,2,0,0,0,0,1,0,0,0
experiment_condition_C_4shot_003_B1.cha,6,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
condition_c_10shot_024_B1.cha,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
experiment_condition_C_2shot_006_B1.cha,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
condition_a_zeroshot_023_B1.cha,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
condition_b_zeroshot_know_026_B1.cha,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
experiment_condition_C_2shot_028_B1.cha,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
experiment_condition_C_6shot_016_B1.cha,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
condition_c_10shot_016_B1.cha,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
condition_b_zeroshot_know_008_B1.cha,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1
condition_a_zeroshot_018_B1.cha,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_6shot_003_B1.cha,0,0,0,0,0,4,0,1,0,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_4shot_024_B1.cha,0,0,0,0,0,5,0,0,0,5,1,0,0,0,0,0,1,4,0,0,2,0,0,0,0,1,0,0,0
condition_c_10shot_003_B1.cha,1,0,0,0,0,7,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_2shot_013_B1.cha,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_4shot_016_B1.cha,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
condition_b_zeroshot_know_001_B1.cha,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,12,4,2,0,0,2,0,0,0
condition_a_zeroshot_004_B1.cha,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_2shot_021_B1.cha,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0
experiment_condition_C_6shot_028_B1.cha,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
condition_c_10shot_028_B1.cha,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_2shot_016_B1.cha,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
condition_b_zeroshot_know_018_B1.cha,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
condition_c_10shot_006_B1.cha,1,0,0,0,0,7,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_6shot_006_B1.cha,0,0,0,0,0,3,0,1,0,4,1,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0
experiment_condition_C_4shot_021_B1.cha,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
condition_a_zeroshot_001_B1.cha,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_2shot_024_B1.cha,0,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
condition_b_zeroshot_know_004_B1.cha,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,4,1,0,1
experiment_condition_C_4shot_013_B1.cha,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0
condition_c_10shot_021_B1.cha,3,0,0,0,0,8,0,1,0,2,2,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0
experiment_condition_C_6shot_021_B1.cha,0,0,0,0,0,9,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_4shot_006_B1.cha,0,0,0,0,0,7,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condition_a_zeroshot_014_B1.cha,0,0,0,0,0,5,0,0,0,8,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
experiment_condition_C_4shot_028_B1.cha,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
