Sentence	MOR_Tier
I'm finding this bit now .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 verb|find-Part-Pres-S det|this-Def-Dem-Sing noun|bit-Acc adv|now .
I'm finding this bit .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 verb|find-Part-Pres-S det|this-Def-Dem-Sing noun|bit-Acc .
that's it .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 .
no this one there .	intj|no det|this-Def-Dem-Sing noun|one adv|there .
and that go on there .	cconj|and pron|that-Dem verb|go-Fin-Ind-Pres-P3 adp|on adv|there .
you says go up there .	pron|you-Prs-Nom-S2 verb|say-Fin-Ind-Pres-S3 verb|go-Inf-S adp|up adv|there .
it's not .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 part|not .
no it can go there .	intj|no pron|it-Prs-Nom-S3 aux|can-Fin-S verb|go-Inf-S adv|there .
yes it go there .	intj|yes pron|it-Prs-Nom-S3 verb|go-Fin-Ind-Pres-S3 adv|there .
this go there .	pron|this-Dem-S1 verb|go-Fin-Imp-S adv|there .
no it don't .	intj|no pron|it-Prs-Nom-S3 aux|do-Fin-Ind-Pres-S3~part|not .
hey , that bit go there .	intj|hey cm|cm det|that-Def-Dem-Sing noun|bit verb|go-Fin-Ind-Pres-S3 adv|there .
go there that bit .	verb|go-Fin-Imp-S adv|there det|that-Def-Dem-Sing noun|bit .
I'm right .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 adj|right-S1 .
turn it round .	verb|turn-Fin-Imp-S pron|it-Prs-Acc-S3 adv|round .
turn it round .	verb|turn-Fin-Imp-S pron|it-Prs-Acc-S3 adv|round .
now unplug it .	adv|now verb|unplug-Fin-Imp-S pron|it-Prs-Acc-S3 .
do mine .	aux|do-Fin-Ind-Pres-S3 pron|my-Prs-S1 .
mine instead [?] .	pron|my-Prs-S1 adv|instead .
got it on again .	verb|get-Fin-Ind-Past-S1-irr pron|it-Prs-Acc-S3 adp|on adv|again .
is this one damaged [?] ?	aux|be-Fin-Ind-Pres-S3 det|this-Def-Dem-Sing noun|one verb|damage-Part-Past-S ?
is this one damaged [?] ?	aux|be-Fin-Ind-Pres-S3 det|this-Def-Dem-Sing noun|one verb|damage-Part-Past-S ?
oh it's not on properly that .	intj|oh pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 part|not adp|on adv|properly pron|that-Dem .
I turn it on and on .	pron|I-Prs-Nom-S1 verb|turn-Fin-Ind-Pres-S1 pron|it-Prs-Acc-S3 adp|on cconj|and adv|on .
stop , it's stop .	verb|stop-Fin-Imp-S cm|cm pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|stop-Inf-S .
oh [?] I can find some more .	intj|oh pron|I-Prs-Nom-S1 aux|can-Fin-S verb|find-Inf-S det|some-Def-Ind adj|more-Cmp-S1 .
my , I ca(n't) my train won't work .	pron|my-Prs-Gen-S1 cm|cm pron|I-Prs-Nom-S1 aux|can-Fin-S~part|not pron|my-Prs-Gen-S1 noun|train aux|will-Fin-S~part|not verb|work-Inf-S .
and then that other one .	cconj|and adv|then det|that-Def-Dem-Sing adj|other-S1 noun|one .
that up there .	pron|that-Dem adp|up adv|there .
that's not hard .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 part|not adj|hard-S1 .
track is broken .	noun|track aux|be-Fin-Ind-Pres-S3 verb|break-Part-Past-S-irr .
no , I can't do a jigsaw .	intj|no cm|cm pron|I-Prs-Nom-S1 aux|can-Fin-S~part|not verb|do-Inf-S det|a-Ind-Art noun|jigsaw-Acc .
hey my train set can go round there .	intj|hey pron|my-Prs-Gen-S1 noun|train noun|set aux|can-Fin-S verb|go-Inf-S adv|round adv|there .
you can make a I can make a fat one for the big one .	pron|you-Prs-Nom-S2 aux|can-Fin-S verb|make-Inf-S det|a-Ind-Art pron|I-Prs-Nom-S1 aux|can-Fin-S verb|make-Inf-S det|a-Ind-Art adj|fat-S1 noun|one-Acc adp|for det|the-Def-Art adj|big-S1 noun|one .
mummie I can make a big one .	noun|mummie pron|I-Prs-Nom-S1 aux|can-Fin-S verb|make-Inf-S det|a-Ind-Art adj|big-S1 noun|one-Acc .
where's my , where's my tunnel ?	adv|where~aux|be-Fin-Ind-Pres-S3 pron|my-Prs-Gen-S1 cm|cm adv|where~aux|be-Fin-Ind-Pres-S3 pron|my-Prs-Gen-S1 noun|tunnel ?
hey where's my tunnel ?	intj|hey adv|where~aux|be-Fin-Ind-Pres-S3 pron|my-Prs-Gen-S1 noun|tunnel ?
now I play my tunnel .	adv|now pron|I-Prs-Nom-S1 verb|play-Fin-Ind-Pres-S1 pron|my-Prs-Gen-S1 noun|tunnel-Acc .
is that a bridge ?	aux|be-Fin-Ind-Pres-S3 sconj|that det|a-Ind-Art noun|bridge ?
this one a tunnel and that's a bridge .	det|this-Def-Dem-Sing noun|one det|a-Ind-Art noun|tunnel cconj|and pron|that-Dem~aux|be-Fin-Ind-Pres-S3 det|a-Ind-Art noun|bridge .
but it's going down my tunnel first .	cconj|but pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 verb|go-Part-Pres-S adp|down pron|my-Prs-Gen-S1 noun|tunnel adv|first .
that's it .	pron|that-Dem~aux|be-Fin-Ind-Pres-S3 pron|it-Prs-Nom-S3 .
yeah , is that yours ?	intj|yeah cm|cm aux|be-Fin-Ind-Pres-S3 sconj|that pron|your-Prs-S2 ?
it's not .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 part|not .
it's Adam .	pron|it-Prs-Nom-S3~aux|be-Fin-Ind-Pres-S3 propn|Adam .
right I make a man .	adv|right pron|I-Prs-Nom-S1 verb|make-Fin-Ind-Pres-S1 det|a-Ind-Art noun|man-Acc .
no , I won't [?] .	intj|no cm|cm pron|I-Prs-Nom-S1 aux|will-Fin-S~part|not .
another [?] one here .	det|another-Def-Ind noun|one adv|here .
here [?] a road .	adv|here det|a-Ind-Art noun|road .
you [?] can .	pron|you-Prs-Nom-S2 aux|can-Fin-S .
this is car road like this .	pron|this-Dem-S1 aux|be-Fin-Ind-Pres-S3 noun|car noun|road adp|like pron|this-Dem-S1 .
I'm [?] not .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 part|not .
you got one in there .	pron|you-Prs-Nom-S2 verb|get-Fin-Ind-Past-S2-irr num|one adp|in adv|there .
and then play with [?] them .	cconj|and adv|then verb|play-Fin-Imp-S adp|with pron|they-Prs-Acc-P3 .
and put them in there .	cconj|and verb|put-Fin-Imp-S pron|they-Prs-Acc-P3 adp|in adv|there .
xxx instead xxx is xxx xxx men .	adv|instead aux|be-Fin-Ind-Pres-S3 noun|man-Plur .
me instead ?	pron|I-Prs-Acc-S1 adv|instead ?
built it again .	verb|build-Fin-Ind-Past-S1-irr pron|it-Prs-Acc-S3 adv|again .
is that a car road ?	aux|be-Fin-Ind-Pres-S3 sconj|that det|a-Ind-Art noun|car noun|road ?
I'm making chairs .	pron|I-Prs-Nom-S1~aux|be-Fin-Ind-Pres-S1 verb|make-Part-Pres-S noun|chair-Plur-Acc .
that [?] do again .	pron|that-Dem verb|do-Fin-Ind-Pres-P3 adv|again .
