File,Language,Corpus,Code,Age(Month),Sex,Group,Race,SES,Role,Education,Custom_field,Design,Activity,Group_2,Total_Utts,MLU_Utts,MLU_Words,MLU_Morphemes,MLU50_Utts,MLU50_Words,MLU50_Morphemes,FREQ_types,FREQ_tokens,NDW_100,VOCD_D_optimum_average,Verbs_Utt,TD_Words,TD_Utts,TD_Time_(secs),TD_Words_Time,TD_Utts_Time,Word_Errors,Utt_Errors,retracing,repetition,DSS_Utts,DSS,mor_Words,*-PRESP,in,on,*-PL,*-POSS,u-cop,det:art,*-PAST,*-S3,irr-S3,u-aux,c-cop,c-aux,Total_non_zero_mors
stage1_td_reannotated/pair_sli413_td439_rep03_A1_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,6,6,6.833,8.167,6,NA,NA,32,41,NA,NA,1.167,41,6,0,NA,NA,0,0,0,0,6,NA,41,1,1,0,1,0,2,6,6,0,0,0,0,0,6
stage1_td_reannotated/pair_sli413_td439_rep03_A2_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,11,11,5.545,6.545,11,NA,NA,38,62,NA,28.66,1.091,61,11,0,NA,NA,0,0,0,0,10,NA,62,1,0,2,0,0,0,15,11,0,1,1,0,0,6
stage1_td_reannotated/pair_sli413_td439_rep03_A3_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,9,9,6.111,7.778,9,NA,NA,33,55,NA,27.32,1.111,73,11,0,NA,NA,0,0,0,0,7,NA,55,3,0,0,3,0,3,8,10,0,0,0,0,0,5
stage1_td_reannotated/pair_sli413_td439_rep03_B1_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,9,9,9.000,10.889,9,NA,NA,46,82,NA,25.74,1.333,81,9,0,NA,NA,0,0,0,0,8,NA,82,4,0,1,1,1,5,18,11,0,1,0,0,0,8
stage1_td_reannotated/pair_sli413_td439_rep03_B2_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,11,11,5.455,7.091,11,NA,NA,43,61,NA,51.01,1.364,60,11,0,NA,NA,2,0,0,0,10,NA,61,1,0,1,3,0,1,6,13,0,0,1,0,0,7
stage1_td_reannotated/pair_sli413_td439_rep03_B3_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,9,9,7.444,9.000,9,NA,NA,40,67,NA,29.24,1.000,80,13,0,NA,NA,0,0,0,0,7,NA,67,1,0,0,3,0,2,11,10,0,1,0,0,0,6
stage1_td_reannotated/pair_sli413_td439_rep04_A1_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,9,9,8.000,9.556,9,NA,NA,36,73,NA,20.46,1.444,72,9,0,NA,NA,0,0,0,0,9,NA,73,2,2,0,0,0,4,13,11,0,1,2,0,0,7
stage1_td_reannotated/pair_sli413_td439_rep04_A2_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,8,8,7.000,8.250,8,NA,NA,37,57,NA,33.97,1.250,57,8,0,NA,NA,0,0,0,1,8,NA,57,2,0,1,0,0,1,8,8,0,1,0,1,0,7
stage1_td_reannotated/pair_sli413_td439_rep04_A3_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,12,12,5.083,6.000,12,NA,NA,34,61,NA,22.24,0.750,61,12,0,NA,NA,0,0,0,0,10,NA,61,2,1,0,0,0,4,12,10,0,1,0,0,0,6
stage1_td_reannotated/pair_sli413_td439_rep04_B1_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,6,6,10.000,11.500,6,NA,NA,39,60,NA,37.77,1.833,60,6,0,NA,NA,0,0,0,0,5,NA,60,0,0,0,0,0,2,6,9,0,0,0,0,0,3
stage1_td_reannotated/pair_sli413_td439_rep04_B2_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,18,18,4.167,5.056,18,NA,NA,53,82,NA,50.97,0.944,75,19,0,NA,NA,0,0,0,0,14,NA,82,0,0,0,4,0,1,6,7,1,1,3,3,1,9
stage1_td_reannotated/pair_sli413_td439_rep04_B3_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,16,16,5.000,6.500,16,NA,NA,49,84,NA,35.62,0.875,80,16,0,NA,NA,0,0,0,0,14,NA,84,2,0,1,5,0,4,7,14,0,1,2,3,0,9
stage1_td_reannotated/pair_sli413_td439_rep05_A1_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,8,8,9.125,10.375,8,NA,NA,35,73,NA,15.47,1.250,73,8,0,NA,NA,0,0,0,0,8,NA,73,1,1,0,0,0,2,20,9,0,1,1,0,0,7
stage1_td_reannotated/pair_sli413_td439_rep05_A2_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,8,8,6.250,7.500,8,NA,NA,32,50,NA,27.86,1.375,50,8,0,NA,NA,0,0,0,0,8,NA,50,1,0,1,0,0,0,11,10,0,2,0,0,0,5
stage1_td_reannotated/pair_sli413_td439_rep05_A3_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,16,16,5.688,6.812,16,NA,NA,50,93,NA,29.66,0.938,97,18,0,NA,NA,0,0,0,0,14,NA,93,2,0,0,1,0,4,17,13,0,0,1,0,1,7
stage1_td_reannotated/pair_sli413_td439_rep05_B1_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,11,11,4.273,5.182,11,NA,NA,29,47,NA,NA,0.818,47,11,0,NA,NA,0,0,0,0,9,NA,47,0,0,2,0,0,2,4,10,0,0,1,0,0,5
stage1_td_reannotated/pair_sli413_td439_rep05_B2_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,15,15,4.733,5.133,15,NA,NA,47,73,NA,47.42,1.200,71,15,0,NA,NA,2,0,0,0,15,NA,73,0,0,0,3,0,1,8,1,9,0,1,0,1,7
stage1_td_reannotated/pair_sli413_td439_rep05_B3_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,9,9,6.667,8.000,9,NA,NA,38,61,NA,31.27,0.889,102,16,0,NA,NA,0,0,0,0,7,NA,61,1,0,0,3,0,2,10,8,0,1,1,0,0,7
stage1_td_reannotated/pair_sli413_td439_rep06_A1_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,6,6,8.500,10.167,6,NA,NA,31,51,NA,24.69,1.333,51,6,0,NA,NA,0,0,0,0,6,NA,51,0,1,0,2,0,1,11,8,0,0,0,0,0,5
stage1_td_reannotated/pair_sli413_td439_rep06_A2_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,10,10,7.000,8.100,10,NA,NA,45,70,NA,40.60,1.300,78,12,0,NA,NA,0,0,0,0,8,NA,70,2,1,2,0,0,1,13,11,0,1,0,0,0,7
stage1_td_reannotated/pair_sli413_td439_rep06_A3_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,13,13,7.538,8.769,13,NA,NA,51,100,51,28.88,1.231,98,13,0,NA,NA,0,0,0,0,11,NA,100,2,0,0,0,0,4,19,12,0,1,3,0,1,7
stage1_td_reannotated/pair_sli413_td439_rep06_B1_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,10,10,5.700,6.800,10,NA,NA,39,59,NA,40.13,1.400,57,10,0,NA,NA,0,0,0,0,9,NA,59,0,1,0,0,0,1,6,10,0,0,1,0,0,5
stage1_td_reannotated/pair_sli413_td439_rep06_B2_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,7,7,10.143,12.429,7,NA,NA,45,72,NA,41.79,2.571,71,7,0,NA,NA,0,0,0,0,7,NA,72,0,1,1,4,0,0,8,12,1,1,0,0,0,7
stage1_td_reannotated/pair_sli413_td439_rep06_B3_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,7,7,7.000,8.571,7,NA,NA,34,50,NA,35.66,1.143,110,21,0,NA,NA,0,0,0,0,7,NA,50,0,0,0,3,0,1,4,8,0,0,1,0,0,5
stage1_td_reannotated/pair_sli413_td439_rep07_A1_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,11,11,5.818,6.727,11,NA,NA,33,64,NA,19.15,0.818,64,11,0,NA,NA,0,0,0,0,9,NA,64,1,1,0,0,0,3,14,9,0,1,0,0,0,6
stage1_td_reannotated/pair_sli413_td439_rep07_A2_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,8,8,7.375,8.875,8,NA,NA,40,59,NA,46.80,1.375,60,8,0,NA,NA,0,0,0,1,8,NA,59,1,0,2,1,0,0,8,11,0,1,0,0,0,6
stage1_td_reannotated/pair_sli413_td439_rep07_A3_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,21,21,5.333,6.333,21,NA,NA,60,116,57,40.35,1.095,112,21,0,NA,NA,1,0,0,0,16,NA,116,0,0,0,0,0,1,11,17,0,0,2,2,0,5
stage1_td_reannotated/pair_sli413_td439_rep07_B1_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,10,10,5.700,6.900,10,NA,NA,42,59,NA,58.68,1.100,57,10,0,NA,NA,0,0,0,0,7,NA,59,0,0,1,0,1,0,5,10,0,0,0,1,0,5
stage1_td_reannotated/pair_sli413_td439_rep07_B2_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,10,10,7.300,8.800,10,NA,NA,47,74,NA,39.62,1.700,73,10,0,NA,NA,0,0,0,0,9,NA,74,0,0,0,3,0,0,12,11,1,0,1,0,0,5
stage1_td_reannotated/pair_sli413_td439_rep07_B3_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,7,7,8.286,10.000,7,NA,NA,35,59,NA,25.56,1.143,99,14,0,NA,NA,0,0,0,0,7,NA,59,1,0,0,3,0,2,10,8,0,1,1,0,0,7
stage1_td_reannotated/pair_sli413_td439_rep08_A1_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,14,14,5.643,6.714,14,NA,NA,35,79,NA,17.06,0.857,79,14,0,NA,NA,0,0,0,0,12,NA,79,2,2,0,0,0,5,16,13,0,1,0,0,0,6
stage1_td_reannotated/pair_sli413_td439_rep08_A2_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,8,8,7.375,8.500,8,NA,NA,38,61,NA,31.85,1.500,59,8,0,NA,NA,0,0,0,0,7,NA,61,2,0,2,0,1,1,11,7,1,1,0,0,0,8
stage1_td_reannotated/pair_sli413_td439_rep08_A3_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,10,10,6.800,8.300,10,NA,NA,35,70,NA,18.95,0.800,68,10,0,NA,NA,0,0,0,0,10,NA,70,2,0,0,0,2,6,14,11,0,1,0,0,0,6
stage1_td_reannotated/pair_sli413_td439_rep08_B1_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,11,11,4.455,5.273,11,NA,NA,33,51,NA,31.63,0.818,60,15,0,NA,NA,0,0,0,0,8,NA,51,4,0,1,0,0,4,5,3,1,1,0,2,0,8
stage1_td_reannotated/pair_sli413_td439_rep08_B2_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,10,10,6.100,6.900,10,NA,NA,45,65,NA,50.44,1.700,61,15,0,NA,NA,0,0,0,0,8,NA,65,0,0,0,2,0,0,6,4,0,1,1,0,1,6
stage1_td_reannotated/pair_sli413_td439_rep08_B3_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,19,19,5.526,6.789,19,NA,NA,61,108,58,42.76,1.053,105,19,0,NA,NA,0,0,0,0,17,NA,108,3,0,0,4,0,5,9,16,0,0,2,1,1,8
stage1_td_reannotated/pair_sli413_td439_rep09_A1_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,7,7,9.000,10.286,7,NA,NA,37,63,NA,29.32,1.286,63,7,0,NA,NA,0,0,0,0,7,NA,63,2,0,0,1,0,2,12,6,0,1,0,0,0,6
stage1_td_reannotated/pair_sli413_td439_rep09_A2_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,8,8,7.000,8.375,8,NA,NA,37,57,NA,32.24,1.500,56,8,0,NA,NA,1,0,0,0,8,NA,57,1,0,2,0,1,0,10,10,0,0,0,0,0,5
stage1_td_reannotated/pair_sli413_td439_rep09_A3_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,23,23,4.652,5.652,23,NA,NA,57,111,53,36.69,0.913,107,23,0,NA,NA,0,0,0,0,18,NA,111,2,1,0,1,0,4,15,18,0,0,2,2,0,8
stage1_td_reannotated/pair_sli413_td439_rep09_B1_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,11,11,6.273,7.545,11,NA,NA,40,69,NA,27.10,1.091,69,11,0,NA,NA,0,0,0,0,10,NA,69,0,0,0,0,0,3,8,14,0,0,0,0,0,3
stage1_td_reannotated/pair_sli413_td439_rep09_B2_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,10,10,7.300,8.900,10,NA,NA,45,73,NA,39.20,1.300,73,10,0,NA,NA,1,0,0,0,9,NA,73,0,0,1,4,0,0,9,12,0,0,0,0,0,4
stage1_td_reannotated/pair_sli413_td439_rep09_B3_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,14,14,6.786,8.214,14,NA,NA,50,97,NA,32.24,0.929,100,16,0,NA,NA,0,0,0,0,12,NA,97,0,0,0,5,1,4,8,13,0,0,3,0,0,6
stage1_td_reannotated/pair_sli413_td439_rep10_A1_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,12,12,5.667,6.667,12,NA,NA,40,68,NA,37.52,0.833,68,12,0,NA,NA,0,0,0,0,10,NA,68,1,0,0,0,0,4,6,11,0,0,0,0,0,4
stage1_td_reannotated/pair_sli413_td439_rep10_A2_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,9,9,6.222,7.556,9,NA,NA,42,57,NA,56.79,1.111,58,9,0,NA,NA,0,0,0,2,8,NA,57,0,0,1,3,0,1,8,8,0,0,1,0,0,6
stage1_td_reannotated/pair_sli413_td439_rep10_A3_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,12,12,5.500,6.417,12,NA,NA,29,66,NA,13.51,0.500,66,12,0,NA,NA,0,0,0,0,11,NA,66,1,2,0,0,0,6,15,10,0,1,0,0,0,6
stage1_td_reannotated/pair_sli413_td439_rep10_B1_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,15,15,4.867,5.800,15,NA,NA,43,73,NA,32.51,0.733,81,17,0,NA,NA,0,0,0,0,12,NA,73,1,0,2,0,0,4,11,13,0,1,0,0,0,6
stage1_td_reannotated/pair_sli413_td439_rep10_B2_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,14,14,5.857,6.143,14,NA,NA,51,82,NA,50.94,1.286,82,14,0,NA,NA,12,0,0,0,13,NA,82,0,0,0,4,0,0,7,0,10,0,1,0,0,4
stage1_td_reannotated/pair_sli413_td439_rep10_B3_TD.cha,eng,ICL-PILOT,CHI,59,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,21,21,5.238,6.333,21,NA,NA,54,112,49,35.39,0.952,111,21,0,NA,NA,3,0,0,1,18,NA,112,0,1,0,3,0,4,8,19,0,0,3,0,0,6
stage1_td_reannotated/pair_sli427_td406_rep01_A1_TD.cha,eng,ICL-PILOT,CHI,56,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,8,8,6.625,6.750,8,NA,NA,32,53,NA,26.13,1.000,53,8,0,NA,NA,6,0,0,0,7,NA,53,1,1,0,0,0,0,8,1,3,0,0,0,0,5
stage1_td_reannotated/pair_sli427_td406_rep01_A2_TD.cha,eng,ICL-PILOT,CHI,56,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,9,9,6.222,7.444,9,NA,NA,42,56,NA,63.41,1.222,56,9,0,NA,NA,0,0,0,0,8,NA,56,1,0,2,1,0,1,7,10,0,1,1,0,0,8
stage1_td_reannotated/pair_sli427_td406_rep01_A3_TD.cha,eng,ICL-PILOT,CHI,56,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,12,12,5.333,5.583,12,NA,NA,36,64,NA,25.72,0.917,64,12,0,NA,NA,0,0,0,0,11,NA,64,0,0,0,3,0,3,9,0,6,0,0,0,0,4
stage1_td_reannotated/pair_sli427_td406_rep01_B1_TD.cha,eng,ICL-PILOT,CHI,56,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,13,13,4.692,4.923,13,NA,NA,35,63,NA,26.66,0.692,61,13,0,NA,NA,4,0,0,0,11,NA,63,0,1,0,0,0,2,7,1,3,0,0,2,0,6
stage1_td_reannotated/pair_sli427_td406_rep01_B2_TD.cha,eng,ICL-PILOT,CHI,56,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,13,13,6.308,6.692,13,NA,NA,52,83,NA,48.84,1.308,82,13,0,NA,NA,11,0,0,0,13,NA,83,0,1,1,3,1,0,5,1,8,0,0,0,0,7
stage1_td_reannotated/pair_sli427_td406_rep01_B3_TD.cha,eng,ICL-PILOT,CHI,56,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,15,15,4.733,5.933,15,NA,NA,46,77,NA,37.32,1.133,71,15,0,NA,NA,0,0,0,0,12,NA,77,0,0,0,3,4,3,2,10,0,0,2,0,0,6
stage1_td_reannotated/pair_sli427_td406_rep02_A1_TD.cha,eng,ICL-PILOT,CHI,56,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,6,6,10.000,12.000,6,NA,NA,30,60,NA,15.78,1.833,60,6,0,NA,NA,0,0,0,0,6,NA,60,1,0,0,1,0,1,12,10,0,0,0,0,0,5
stage1_td_reannotated/pair_sli427_td406_rep02_A2_TD.cha,eng,ICL-PILOT,CHI,56,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,9,9,5.778,5.778,9,NA,NA,39,54,NA,51.89,1.444,52,9,0,NA,NA,0,0,0,0,7,NA,54,1,1,1,0,0,0,7,0,9,2,0,0,0,6
stage1_td_reannotated/pair_sli427_td406_rep02_A3_TD.cha,eng,ICL-PILOT,CHI,56,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,10,10,10.400,12.800,10,NA,NA,40,104,40,18.57,1.700,104,10,0,NA,NA,0,0,0,0,10,NA,104,4,2,0,0,0,11,12,20,0,0,0,0,0,5
stage1_td_reannotated/pair_sli427_td406_rep02_B1_TD.cha,eng,ICL-PILOT,CHI,56,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,11,11,7.000,8.273,11,NA,NA,48,78,NA,46.64,1.091,77,11,0,NA,NA,2,0,0,0,9,NA,78,0,0,1,0,0,3,5,13,0,0,0,1,0,5
stage1_td_reannotated/pair_sli427_td406_rep02_B2_TD.cha,eng,ICL-PILOT,CHI,56,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,9,9,5.222,6.111,9,NA,NA,33,47,NA,NA,1.333,47,9,0,NA,NA,0,0,0,0,9,NA,47,0,0,1,1,0,0,4,7,1,0,1,0,0,6
stage1_td_reannotated/pair_sli427_td406_rep02_B3_TD.cha,eng,ICL-PILOT,CHI,56,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,14,14,11.429,12.000,14,NA,NA,73,161,52,33.45,1.786,160,14,0,NA,NA,0,0,0,0,14,NA,161,0,1,2,6,0,4,22,1,9,0,1,0,0,8
stage1_td_reannotated/pair_sli427_td406_rep03_A1_TD.cha,eng,ICL-PILOT,CHI,56,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,12,12,3.583,3.750,12,NA,NA,27,43,NA,NA,0.583,44,12,0,NA,NA,10,0,0,1,7,NA,43,1,2,0,0,0,1,0,1,0,0,0,0,0,4
stage1_td_reannotated/pair_sli427_td406_rep03_A2_TD.cha,eng,ICL-PILOT,CHI,56,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,12,12,4.583,5.500,12,NA,NA,42,56,NA,65.31,1.000,56,12,0,NA,NA,0,0,0,1,9,NA,56,1,0,3,0,1,1,5,9,0,0,0,0,0,6
stage1_td_reannotated/pair_sli427_td406_rep03_A3_TD.cha,eng,ICL-PILOT,CHI,56,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,6,6,7.333,7.500,6,NA,NA,27,44,NA,NA,0.833,44,6,0,NA,NA,1,0,0,0,4,NA,44,0,0,0,1,0,1,10,0,4,0,1,0,0,5
stage1_td_reannotated/pair_sli427_td406_rep03_B1_TD.cha,eng,ICL-PILOT,CHI,56,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,16,16,5.938,6.812,16,NA,NA,47,97,NA,29.20,1.062,95,16,0,NA,NA,0,0,0,0,15,NA,97,0,0,2,0,0,2,9,12,0,0,1,2,0,6
stage1_td_reannotated/pair_sli427_td406_rep03_B2_TD.cha,eng,ICL-PILOT,CHI,56,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,17,17,4.412,5.471,17,NA,NA,50,77,NA,47.73,1.000,75,17,0,NA,NA,0,0,0,0,14,NA,77,0,0,2,2,0,2,4,14,0,0,2,1,0,7
stage1_td_reannotated/pair_sli427_td406_rep03_B3_TD.cha,eng,ICL-PILOT,CHI,56,.,TD,.,.,Target_Child,.,.,cross,narrative,generated,18,18,5.778,7.111,18,NA,NA,56,105,55,35.91,0.778,117,22,0,NA,NA,0,0,0,0,17,NA,105,2,2,0,4,0,8,10,17,0,0,2,0,0,7
